City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
541,Naregal,IN,75.4,overcast clouds,15.5833,75.8167,Jai Hanuman Hotel
542,Sibolga,ID,81.99,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
544,Wenling,CN,82.09,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
549,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
550,Mandalgovi,MN,76.17,broken clouds,45.7625,106.2708,В.Ганбат
551,Tual,ID,81.68,broken clouds,-5.6667,132.75,Grand Vilia Hotel
552,Qui Nhon,VN,86.18,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
554,Jiuquan,CN,89.94,clear sky,39.7432,98.5174,Jiuquan Hotel
556,Luganville,VU,80.11,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
557,Gra Liyia,GR,76.57,clear sky,35.0167,25.6833,Diktynna Traditional Villas
565,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
566,Gizo,SB,85.95,few clouds,-8.103,156.8419,Imagination Island
568,Katsuura,JP,82.42,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
570,Manggar,ID,82.33,overcast clouds,-2.8833,108.2667,Guest Hotel
572,Namatanai,PG,85.35,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
573,Broome,US,77.38,broken clouds,42.2506,-75.833,Chenango Valley State Park
574,Alugan,PH,83.61,moderate rain,12.2188,125.4808,JM Lodge
578,Chaozhou,CN,78.66,light rain,23.6651,116.6379,Seven Corner View Homestay
580,Banjar,ID,85.42,overcast clouds,-8.19,114.9675,The Hamsa Resort
581,Xifeng,CN,76.51,broken clouds,42.7372,124.7222,Home Inn Hotel
586,Kamaishi,JP,80.58,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
587,Mailani,IN,86.32,overcast clouds,28.2833,80.35,Nani House
591,Kailua,US,85.98,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
594,Springdale,US,89.73,few clouds,36.1867,-94.1288,Springdale Inn
