City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
295,Nizhniy Kuranakh,58.8353,125.4869,69.82,82,91,3.4,overcast clouds
296,Balikpapan,-1.2675,116.8289,77.99,94,40,2.3,scattered clouds
297,Awbari,26.5921,12.7805,89.49,13,10,8.61,clear sky
298,Shingu,33.7333,135.9833,81.91,63,30,1.92,scattered clouds
299,Kyotera,-0.6156,31.5175,63.88,71,64,4.05,broken clouds
300,Erenhot,43.6475,111.9767,76.08,44,0,7.38,clear sky
301,Arraial Do Cabo,-22.9661,-42.0278,69.66,83,0,6.91,clear sky
302,Menongue,-14.6585,17.691,53.13,54,18,3.94,few clouds
303,Umm Kaddadah,13.6017,26.6876,85.71,42,100,12.62,overcast clouds
304,Sibolga,1.7427,98.7792,75.76,82,68,3.18,broken clouds
305,Abu Dhabi,24.4667,54.3667,87.96,82,98,3.44,overcast clouds
306,Ambilobe,-13.2,49.05,64.15,77,22,3.58,few clouds
307,Mus,39.0,41.75,61.66,51,1,5.12,clear sky
308,Namatanai,-3.6667,152.4333,83.68,70,11,11.14,few clouds
309,Champoton,19.35,-90.7167,85.46,71,93,13.53,overcast clouds
310,Saint George,37.1041,-113.5841,104.63,14,0,11.5,clear sky
311,Kulhudhuffushi,6.6221,73.07,82.58,79,20,21.92,few clouds
312,Coquimbo,-29.9533,-71.3436,53.33,87,75,9.22,broken clouds
313,Nanortalik,60.1432,-45.2371,41.56,86,8,11.74,clear sky
314,Klichka,50.4457,117.996,71.73,59,75,3.33,broken clouds
315,Aranda De Duero,41.6704,-3.6892,65.62,40,0,14.16,clear sky
316,Shenjiamen,29.9576,122.298,77.31,91,8,10.02,clear sky
317,Ostrovnoy,68.0531,39.5131,45.03,96,100,8.05,overcast clouds
318,Richards Bay,-28.783,32.0377,62.29,71,0,12.53,clear sky
319,Cuauhtemoc,28.4167,-106.8667,74.12,42,79,8.19,broken clouds
320,Tamworth,52.634,-1.6959,59.47,74,69,5.99,broken clouds
321,Cidreira,-30.1811,-50.2056,60.87,85,1,22.35,clear sky
